"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)"
3.74,21.8023829681,28.9016365565
3.75,21.7790221491,28.9467589642
3.76,21.7790221491,28.8550645557
3.77,21.7790221491,28.9467589642
3.78,21.7790221491,28.9249248252
3.79,21.7790221491,28.831780801
3.8,21.8023829681,28.9467589642
3.81,21.7790221491,28.9467589642
3.82,21.7790221491,28.831780801
3.83,21.7790221491,28.9249248252
3.84,21.8023829681,28.9467589642
3.85,21.7790221491,28.8783498038
3.86,21.8023829681,28.831780801
3.87,21.7790221491,28.9467589642
3.88,21.7790221491,28.831780801
3.89,21.8023829681,28.9016365565
3.9,21.7790221491,28.9700502027
3.91,21.7556592718,28.831780801
3.92,21.8257417415,28.9700502027
3.93,21.7790221491,28.9467589642
3.94,21.7790221491,28.9467589642
3.95,21.7556592718,28.8783498038
3.96,21.8023829681,28.9467589642
3.97,21.7556592718,28.9467589642
3.98,21.8257417415,28.8783498038
3.99,21.7556592718,28.9467589642
4,21.8257417415,28.8550645557
4.01,21.7556592718,28.9467589642
4.02,21.8257417415,28.831780801
4.03,21.7556592718,28.9467589642
4.04,21.8257417415,28.8783498038
4.05,21.7790221491,28.9467589642
4.06,21.8257417415,28.9467589642
4.07,21.7790221491,28.831780801
4.08,21.8257417415,28.9467589642
4.09,21.7790221491,28.831780801
4.1,21.8257417415,28.9467589642
4.11,21.7790221491,28.8550645557
4.12,21.7790221491,28.9467589642
4.13,21.7556592718,28.831780801
4.14,21.7790221491,28.9467589642
4.15,21.7790221491,28.8783498038
4.16,21.8023829681,28.9467589642
4.17,21.7790221491,28.9467589642
4.18,21.7790221491,28.9249248252
4.19,21.7790221491,28.831780801
4.2,21.8023829681,28.9700502027
4.21,21.7790221491,28.8084985283
4.22,21.8023829681,28.9700502027
4.23,21.7790221491,28.8783498038
4.24,21.8023829681,28.8783498038
4.25,21.7556592718,28.9467589642
4.26,21.7556592718,28.831780801
4.27,21.7790221491,28.9467589642
4.28,21.7790221491,28.8783498038
4.29,21.7556592718,28.831780801
4.3,21.7790221491,28.9016365565
4.31,21.7790221491,28.8783498038
4.32,21.8257417415,28.9467589642
4.33,21.7790221491,28.831780801
4.34,21.8257417415,28.9467589642
4.35,21.7790221491,28.9016365565
4.36,21.7790221491,28.9249248252
4.37,21.7790221491,28.8783498038
4.38,21.8023829681,28.9700502027
4.39,21.7790221491,28.8084985283
4.4,21.8023829681,28.9467589642
4.41,21.7790221491,28.8084985283
4.42,21.8023829681,28.9700502027
4.43,21.7556592718,28.831780801
4.44,21.7790221491,28.9467589642
4.45,21.7556592718,28.9467589642
4.46,21.7790221491,28.831780801
4.47,21.7337546941,28.831780801
4.48,21.7790221491,28.9467589642
4.49,21.7556592718,28.9467589642
4.5,21.8023829681,28.8783498038
4.51,21.7790221491,28.8550645557
4.52,21.7790221491,28.9467589642
4.53,21.7556592718,28.9016365565
4.54,21.8023829681,28.831780801
4.55,21.7556592718,28.8783498038
4.56,21.7790221491,28.9467589642
4.57,21.7556592718,28.8084985283
4.58,21.7790221491,28.9467589642
4.59,21.7790221491,28.8084985283
4.6,21.8023829681,28.8783498038
4.61,21.7790221491,28.9249248252
4.62,21.7556592718,28.9249248252
4.63,21.7556592718,28.831780801
4.64,21.7790221491,28.9467589642
4.65,21.7556592718,28.9467589642
4.66,21.7790221491,28.831780801
4.67,21.7556592718,28.9249248252
4.68,21.7790221491,28.9016365565
4.69,21.8257417415,28.831780801
4.7,21.7790221491,28.9700502027
4.71,21.7790221491,28.8550645557
4.72,21.8023829681,28.9467589642
4.73,21.7556592718,28.831780801
4.74,21.7790221491,28.831780801
4.75,21.7790221491,28.831780801
4.76,21.7790221491,28.9249248252
4.77,21.7790221491,28.8783498038
4.78,21.7790221491,28.9249248252
4.79,21.7790221491,28.831780801
4.8,21.7790221491,28.8550645557
4.81,21.7790221491,28.9249248252
4.82,21.8257417415,28.8783498038
4.83,21.7556592718,28.8783498038
4.84,21.7790221491,28.9467589642
4.85,21.7556592718,28.831780801
